from	from	from
:	:	:
mitchell@nodecg.ncc.telecomwa.oz.au	mitchell@nodecg.ncc.telecomwa.oz.au	mitchell@nodecg.ncc.telecomwa.oz.au
(	(	(
clive	clive	clive
mitchell	mitchel	mitchell
)	)	)

subject	subject	subject
:	:	:
dataproducts	dataproduct	dataproducts
lzr1260	lzr1260	lzr1260
not	not	not
printing	print	printing
correctly	correct	correctly

organization	organ	organization
:	:	:
regional	region	regional
network	network	network
systems	system	system
group	group	group
,	,	,
perth	perth	perth

lines	line	line
:	:	:
951	951	951

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
cut	cut	cut
here	here	here
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
part	part	part
02	02	02
/	/	/
03	03	03
m_xn	m_xn	m_xn
.	.	.
gghol	gghol	gghol
*	*	*
(	(	(
3iz	3iz	3iz
!	!	!
02	02	02
'	'	'
c	c	c
'	'	'
"	"	"
ym	ym	ym
=	=	=
*	*	*
]	]	]
[	[	[
*	*	*
&	&	&
wt	wt	wt
%	%	%
s	s	s
;	;	;
)	)	)
5	5	5
:	:	:
&	&	&
$	$	$
v8a	v8a	v8a
=	=	=
k	k	k
/	/	/
x	x	x
@	@	@
2	2	2
$	$	$
f	f	f
[	[	[
(	(	(
j	j	j
)	)	)
cabc	cabc	cabc
m	m	m
=	=	=
8h	8h	8h
#	#	#
9	9	9
!	!	!
c	c	c
@	@	@
^	^	^
.	.	.
0	0	0
%	%	%
cf	cf	cf
]	]	]
p	p	p
[	[	[
)	)	)
'	'	'
.	.	.
_	_	_
@	@	@
v	v	v
/	/	/
$	$	$
5s	5s	5
@	@	@
?	?	?
'	'	'
#	#	#
nw61t	nw61t	nw61t
@	@	@
a	a	a
&	&	&
-	-	-
g1	g1	g1
/	/	/
h	h	h
#	#	#
c	c	c
'	'	'
!	!	!
\	\	\
0	0	0
)	)	)
t7	t7	t7
(	(	(
*	*	*
^	^	^
q	q	q
m	m	m
.	.	.
_	_	_
[	[	[
3l4	3l4	3l4
,	,	,
x	x	x
=	=	=
k08ch	k08ch	k08ch
]	]	]
p	p	p
[	[	[
$	$	$
n	n	n
>	>	>
7	7	7
<	<	<
*	*	*
q	q	q
"	"	"
skv	skv	skv
"	"	"
<	<	<
>	>	>
n_	n_	n_
.	.	.
*	*	*
js5	js5	js5
@	@	@
gf	gf	gf
>	>	>
o	o	o
\	\	\
.	.	.
pw	pw	pw
,	,	,
0	0	0
[	[	[
x6	x6	x6
@	@	@
-	-	-
fn	fn	fn
+	+	+
:	:	:
o	o	o
m	m	m
+	+	+
qb0	qb0	qb0
.	.	.
x7kxp	x7kxp	x7kxp
(	(	(
xwm2qr_ev	xwm2qr_ev	xwm2qr_ev
)	)	)
)	)	)
8z0	8z0	8z0
!	!	!
;	;	;
?	?	?
7i	7i	7i
;	;	;
\	\	\
2z	2z	2z
.	.	.
o72	o72	o72
"	"	"
xu	xu	xu
\	\	\
<	<	<
.	.	.
^	^	^
l	l	l
%	%	%
[	[	[
y	y	y
,	,	,
z	z	z
=	=	=
k	k	k
(	(	(
/	/	/
sn	sn	sn
=	=	=
q	q	q
m	m	m
[	[	[
h	h	h
^	^	^
.	.	.
o	o	o
<	<	<
>	>	>
q	q	q
;	;	;
siv	siv	siv
'	'	'
\	\	\
>	>	>
.	.	.
[	[	[
-	-	-
a_	a_	a_
'	'	'
/	/	/
n	n	n
=	=	=
8p	8p	8p
]	]	]
r	r	r
[	[	[
(	(	(
-	-	-
6w	6w	6w
@	@	@
"	"	"
c	c	c
'	'	'
'	'	'
n	n	n
?	?	?
8y	8y	8y
=	=	=
r	r	r
[	[	[
%	%	%
>	>	>
.	.	.
g	g	g
<	<	<
jq	jq	jq
]	]	]
scv	scv	scv
*	*	*
g	g	g
>	>	>
i	i	i
ma	ma	ma
>	>	>
.	.	.
q	q	q
'	'	'
+	+	+
os	os	o
"	"	"
e	e	e
=	=	=
_	_	_
[	[	[
6ko	6ko	6ko
%	%	%
'	'	'
$	$	$
'	'	'
*	*	*
.	.	.
;	;	;
+	+	+
soo	soo	soo
!	!	!
e_	e_	e_
?	?	?
w	w	w
)	)	)
)	)	)
<	<	<
z	z	z
\	\	\
5	5	5
^	^	^
w	w	w
&	&	&
:	:	:
e	e	e
@	@	@
m	m	m
@	@	@
:	:	:
;	;	;
8	8	8
"	"	"
u31l	u31l	u31l
"	"	"
'	'	'
#	#	#
3	3	3
"	"	"
k	k	k
m	m	m
%	%	%
<	<	<
@	@	@
6	6	6
/	/	/
.	.	.
x	x	x
:	:	:
p	p	p
$	$	$
/	/	/
1q	1q	1q
<	<	<
xg0mb	xg0mb	xg0mb
=	=	=
@	@	@
bnfp	bnfp	bnfp
?	?	?
i	i	i
/	/	/
%	%	%
z	z	z
:	:	:
.	.	.
rc	rc	rc
@	@	@
.	.	.
8	8	8
$	$	$
;	;	;
aa	aa	aa
^	^	^
5x	5x	5x
/	/	/
%	%	%
h	h	h
<	<	<
tta	tta	tta
&	&	&
9jfz0	9jfz0	9jfz0
mpa	mpa	mpa
,	,	,
yc	yc	yc
"	"	"
/	/	/
p	p	p
>	>	>
(	(	(
[	[	[
!	!	!
f1	f1	f1
^	^	^
(	(	(
-	-	-
l3v	l3v	l3v
(	(	(
t	t	t
.	.	.
r	r	r
;	;	;
?	?	?
92c	92c	92c
&	&	&
n	n	n
!	!	!
@	@	@
<	<	<
qx	qx	qx
mzbo8	mzbo8	mzbo8
:	:	:
ul	ul	ul
9sq	9sq	9sq
)	)	)
q	q	q
>	>	>
cv	cv	cv
,	,	,
pj	pj	pj
4	4	4
mojfuq8	mojfuq8	mojfuq8
*	*	*
p	p	p
=	=	=
"	"	"
c3	c3	c3
\	\	\
&	&	&
nf	nf	nf
]	]	]
i	i	i
>	>	>
q	q	q
#	#	#
g5	g5	g5
-	-	-
zkjf4d_8ud	zkjf4d_8ud	zkjf4d_8ud
&	&	&
;	;	;
;	;	;
gk01	gk01	gk01
)	)	)
qe	qe	qe
/	/	/
h6iyup3	h6iyup3	h6iyup3
.	.	.
u	u	u
7	7	7
-	-	-
<	<	<
m8n	m8n	m8n
^	^	^
e	e	e
=	=	=
i0	i0	i0
"	"	"
gfd	gfd	gfd
[	[	[
l	l	l
>	>	>
l	l	l
<	<	<
0j	0j	0j
)	)	)
y	y	y
=	=	=
0j981xk5oeopb	0j981xk5oeopb	0j981xk5oeopb
'	'	'
/	/	/
9gu	9gu	9gu
(	(	(
c	c	c
;	;	;
.	.	.
+	+	+
&	&	&
b_4	b_4	b_4
&	&	&
tvsr	tvsr	tvsr
%	%	%
0	0	0
\	\	\
w	w	w
\	\	\
%	%	%
mo2duo	mo2duo	mo2duo
%	%	%
t	t	t
!	!	!
n	n	n
-	-	-
"	"	"
'	'	'
'	'	'
<	<	<
t	t	t
-	-	-
]	]	]
#	#	#
;	;	;
4bc	4bc	4bc
&	&	&
be	be	be
/	/	/
@	@	@
'	'	'
c	c	c
?	?	?
e	e	e
!	!	!
0	0	0
)	)	)
3	3	3
.	.	.

3	3	3
%	%	%
\	\	\
qz	qz	qz
<	<	<
5	5	5
]	]	]
>	>	>
99	99	99
#	#	#
'	'	'
_5	_5	_5
!	!	!
0	0	0
>	>	>
j_	j_	j_
!	!	!
ph	ph	ph
m_e4	m_e4	m_e4
%	%	%
"	"	"
nq	nq	nq
=	=	=
%	%	%
v	v	v
[	[	[
wfx5	wfx5	wfx5
/	/	/
\	\	\
[	[	[
ozcgrc6	ozcgrc6	ozcgrc6
.	.	.
o	o	o
:	:	:
nrh	nrh	nrh
