from	from	from
:	:	:
oueichek@imag.fr	oueichek@imag.fr	oueichek@imag.fr
(	(	(
ibaa	ibaa	ibaa
oueichek	oueichek	oueichek
)	)	)

subject	subject	subject
:	:	:
cache	cach	cache
card	card	card
for	for	for
iisi	iisi	iisi

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
gram3	gram3	gram3

organization	organ	organization
:	:	:
imag	imag	imag
institute	institut	institute
,	,	,
university	univers	university
of	of	of
grenoble	grenobl	grenoble
,	,	,
france	franc	france

x	x	x
-	-	-
newsreader	newsread	newsreader
:	:	:
tin	tin	tin
1	1	1
.	.	.
1	1	1
pl5	pl5	pl5

lines	line	line
:	:	:
20	20	20

i	i	i
'	'	'
m	m	m
looking	look	looking
for	for	for
a	a	a
cache	cach	cache
card	card	card
for	for	for
my	my	my
iisi	iisi	iisi
.	.	.

i	i	i
can	can	can
spend	spend	spend
$	$	$
250	250	250
max	max	max
for	for	for
it	it	it
,	,	,
what	what	what
i	i	i
need	need	need
is	is	is
64	64	64
kb	kb	kb
cache	cach	cache
with	with	with
a	a	a
fpu	fpu	fpu
socket	socket	socket
and	and	and
a	a	a
dual	dual	dual
slot	slot	slot
adapter	adapt	adapter
.	.	.

or	or	or
at	at	at
least	least	least
a	a	a
passe_through	passe_through	passe_through
connector	connector	connector
so	so	so
i	i	i
can	can	can
keep	keep	keep
my	my	my
graphic	graphic	graphic
card	card	card
.	.	.

i	i	i
need	need	need
your	your	your
advice	advic	advice
about	about	about
the	the	the
best	best	best
card	card	card
i	i	i
can	can	can
buy	buy	buy
.	.	.

how	how	how
much	much	much
performance	perform	performance

increase	increas	increase
i	i	i
should	should	should
expect	expect	expect
,	,	,
does	doe	doe
the	the	the
performance	perform	performance
increase	increas	increase
between	between	between
the	the	the

32	32	32
and	and	and
64	64	64
kb	kb	kb
cache	cach	cache
worths	worth	worth
the	the	the
price	price	price
difference	differ	difference
?	?	?
.	.	.

and	and	and
what	what	what
'	'	'
s	s	s
the	the	the
best	best	best

price	price	price
i	i	i
can	can	can
get	get	get
for	for	for
such	such	such
a	a	a
card	card	card
(	(	(
i	i	i
really	realli	really
need	need	need
to	to	to
spare	spare	spare
each	each	each
possible	possibl	possible

$	$	$
)	)	)
.	.	.

i	i	i
have	have	have
an	an	an
ethernet	ethernet	ethernet
card	card	card
for	for	for
the	the	the
lc	lc	lc
with	with	with
fpu	fpu	fpu
.	.	.

i	i	i
don	don	don
'	'	'
t	t	t
think	think	think
it	it	it
would	would	would

work	work	work
for	for	for
the	the	the
iisi	iisi	iisi
but	but	but
the	the	the
fpu	fpu	fpu
is	is	is
socketed	socket	socketed
.	.	.

do	do	do
you	you	you
think	think	think
i	i	i
can	can	can
take	take	take
the	the	the

fpu	fpu	fpu
out	out	out
of	of	of
the	the	the
card	card	card
and	and	and
put	put	put
it	it	it
in	in	in
the	the	the
empty	empti	empty
fpu	fpu	fpu
socket	socket	socket
?	?	?
.	.	.

would	would	would
it	it	it
work	work	work

at	at	at
20	20	20
mhz	mhz	mhz
?	?	?
.	.	.

if	if	if
not	not	not
,	,	,
how	how	how
much	much	much
should	should	should
i	i	i
pay	pay	pay
for	for	for
an	an	an
extra	extra	extra
fpu	fpu	fpu
?	?	?
.	.	.

-	-	-
-	-	-
sham	sham	sham
(	(	(
u	u	u
)	)	)
ya	ya	ya
tha	tha	tha
(	(	(
s	s	s
)	)	)
seif	seif	seif
(	(	(
u	u	u
)	)	)
lam	lam	lam
yaghib	yaghib	yaghib
(	(	(
i	i	i
)	)	)
|	|	|
ibaa	ibaa	ibaa
oueichek	oueichek	oueichek
.	.	.

oueichek@imag.imag.fr	oueichek@imag.imag.fr	oueichek@imag.imag.fr

ya	ya	ya
jamal	jamal	jamal
(	(	(
al	al	al
)	)	)
majd	majd	majd
(	(	(
i	i	i
)	)	)
fi	fi	fi
(	(	(
l	l	l
)	)	)
kutub	kutub	kutub
(	(	(
i	i	i
)	)	)
|	|	|
lab	lab	lab
de	de	de
genie	geni	genie
informatique	informatiqu	informatique
(	(	(
lgi	lgi	lgi
)	)	)
.	.	.

kablak	kablak	kablak
(	(	(
i	i	i
)	)	)
(	(	(
t	t	t
)	)	)
tareekh	tareekh	tareekh
(	(	(
u	u	u
)	)	)
fi	fi	fi
thulmaten	thulmaten	thulmaten
|	|	|
imag	imag	imag
,	,	,
inpg	inpg	inpg
.	.	.

baadak	baadak	baadak
(	(	(
i	i	i
)	)	)
staula	staula	staula
ala	ala	ala
(	(	(
sh	sh	sh
)	)	)
shuhub	shuhub	shuhub
(	(	(
i	i	i
)	)	)
|	|	|
46	46	46
,	,	,
av	av	av
.	.	.
felix	felix	felix
viallet	viallet	viallet
,	,	,
grenoble	grenobl	grenoble
.	.	.
