from	from	from
:	:	:
davesimp@soda.berkeley.edu	davesimp@soda.berkeley.edu	davesimp@soda.berkeley.edu
(	(	(
david	david	david
simpson	simpson	simpson
)	)	)

subject	subject	subject
:	:	:
trying	tri	trying
to	to	to
find	find	find
papers	paper	paper
by	by	by
rosenthal	rosenth	rosenthal

article	articl	article
-	-	-
i	i	i
.	.	.
d	d	d
.	.	.
:	:	:
agate	agat	agate
.	.	.
1r7k7o	1r7k7o	1r7k7o
$	$	$
feh	feh	feh

organization	organ	organization
:	:	:
uc	uc	uc
berkeley	berkeley	berkeley
,	,	,
cs	cs	c
undergraduate	undergradu	undergraduate
association	associ	association

lines	line	line
:	:	:
29	29	29

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
soda	soda	soda
.	.	.
berkeley	berkeley	berkeley
.	.	.
edu	edu	edu

i	i	i
have	have	have
the	the	the
march	march	march
/	/	/
april	april	april
version	version	version
of	of	of
the	the	the
x	x	x
journal	journal	journal
open	open	open
in	in	in
front	front	front
of	of	of
me	me	me
.	.	.

i	i	i
'	'	'
ll	ll	ll
be	be	be
working	work	working
on	on	on
programming	program	programming
x	x	x
-	-	-
clients	client	client
this	this	this
summer	summer	summer
,	,	,
and	and	and
since	sinc	since
i	i	i
don	don	don
'	'	'
t	t	t
have	have	have
much	much	much
experience	experi	experience
with	with	with
programming	program	programming
x	x	x
,	,	,
i	i	i
thought	thought	thought
this	this	this
issue	issu	issue
might	might	might
be	be	be
helpful	help	helpful
as	as	a
it	it	it
has	has	ha
a	a	a
section	section	section
on	on	on
debugging	debug	debugging
,	,	,
and	and	and
a	a	a
section	section	section
on	on	on
the	the	the
40	40	40
most	most	most
common	common	common
errors	error	error
in	in	in
programming	program	programming
x	x	x
.	.	.

at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
errors	error	error
section	section	section
,	,	,
there	there	there
are	are	are
the	the	the
following	follow	following
references	refer	reference
for	for	for
tutorials	tutori	tutorial
on	on	on
x	x	x
programming	program	programming
style	style	style
.	.	.

they	they	they
are	are	are
:	:	:

rosenthal	rosenth	rosenthal
,	,	,
david	david	david
-	-	-
a	a	a
simple	simpl	simple
x11	x11	x11
client	client	client
program	program	program

proceedings	proceed	proceeding
of	of	of
the	the	the
winter	winter	winter
1988	1988	1988
usenix	usenix	usenix
conference	confer	conference
,	,	,
1988	1988	1988
.	.	.

lemke	lemk	lemke
,	,	,
d	d	d
.	.	.
,	,	,
and	and	and
rosenthal	rosenth	rosenthal
,	,	,
d	d	d
.	.	.

-	-	-
visualizing	visual	visualizing
x11	x11	x11
clients	client	client

proceedings	proceed	proceeding
of	of	of
the	the	the
winter	winter	winter
1989	1989	1989
usenix	usenix	usenix
conference	confer	conference
,	,	,
1989	1989	1989
.	.	.

does	doe	doe
anyone	anyon	anyone
know	know	know
where	where	where
i	i	i
could	could	could
find	find	find
these	these	these
in	in	in
printed	print	printed
or	or	or
(	(	(
preferably	prefer	preferably
)	)	)
electronic	electron	electronic
form	form	form
?	?	?

or	or	or
can	can	can
you	you	you
suggest	suggest	suggest
any	ani	any
net	net	net
resources	resourc	resource
devoted	devot	devoted
to	to	to
the	the	the
introduction	introduct	introduction
to	to	to
programming	program	programming
x	x	x
(	(	(
i	i	i
'	'	'
ll	ll	ll
be	be	be
looking	look	looking
at	at	at
the	the	the
bookstore	bookstor	bookstore
for	for	for
books	book	book
,	,	,
so	so	so
i	i	i
am	am	am
really	realli	really
only	onli	only
asking	ask	asking
about	about	about
what	what	what
i	i	i
can	can	can
find	find	find
on	on	on
the	the	the
net	net	net
.	.	.
)	)	)

thanks	thank	thanks
,	,	,
david	david	david
simpson	simpson	simpson

davesimp@soda.berkeley.edu	davesimp@soda.berkeley.edu	davesimp@soda.berkeley.edu
