from	from	from
:	:	:
rjwade@rainbow.ecn.purdue.edu	rjwade@rainbow.ecn.purdue.edu	rjwade@rainbow.ecn.purdue.edu
(	(	(
robert	robert	robert
j	j	j
.	.	.

wade	wade	wade
)	)	)
subject	subject	subject
:	:	:
re	re	re
:	:	:
re	re	re
aftermarket	aftermarket	aftermarket
a	a	a
/	/	/
c	c	c
units	unit	unit
organization	organ	organization
:	:	:
purdue	purdu	purdue
university	univers	university
engineering	engin	engineering
computer	comput	computer
network	network	network
distribution	distribut	distribution
:	:	:
usa	usa	usa
lines	line	line
:	:	:
29	29	29

>	>	>
les	les	le
bartel	bartel	bartel
'	'	'
s	s	s
comments	comment	comment
:	:	:

>	>	>
>	>	>
>	>	>
>	>	>
sorry	sorri	sorry
i	i	i
can	can	can
'	'	'
t	t	t
help	help	help
you	you	you
with	with	with
your	your	your
question	question	question
,	,	,
but	but	but
i	i	i
do	do	do
have	have	have
a	a	a
comment	comment	comment
to	to	to

>	>	>
>	>	>
make	make	make
concerning	concern	concerning
aftermarket	aftermarket	aftermarket
a	a	a
/	/	/
c	c	c
units	unit	unit
.	.	.

i	i	i
have	have	have
a	a	a
frost	frost	frost
-	-	-
king	king	king
or	or	or
frost	frost	frost
-	-	-
temp	temp	temp

>	>	>
>	>	>
(	(	(
forget	forget	forget
which	which	which
)	)	)
aftermarket	aftermarket	aftermarket
unit	unit	unit
on	on	on
my	my	my
cavalier	cavali	cavalier
,	,	,
and	and	and
am	am	am
quite	quit	quite
unhappy	unhappi	unhappy
with	with	with

>	>	>
>	>	>
it	it	it
.	.	.

the	the	the
fan	fan	fan
is	is	is
noisy	noisi	noisy
,	,	,
and	and	and
doesn	doesn	doesn
'	'	'
t	t	t
put	put	put
out	out	out
much	much	much
air	air	air
.	.	.

i	i	i
will	will	will
never	never	never
have	have	have

>	>	>
>	>	>
an	an	an
aftermarket	aftermarket	aftermarket
a	a	a
/	/	/
c	c	c
installed	instal	installed
in	in	in
any	ani	any
of	of	of
my	my	my
vehicles	vehicl	vehicle
again	again	again
.	.	.

i	i	i
just	just	just
can	can	can
'	'	'
t	t	t

>	>	>
>	>	>
trust	trust	trust
the	the	the
quality	qualiti	quality
and	and	and
performance	perform	performance
after	after	after
this	this	this
experience	experi	experience
.	.	.

>	>	>
>	>	>
-	-	-
les	les	le

>	>	>

>	>	>
let	let	let
me	me	me
add	add	add
my	my	my
.	.	.
02	02	02
in	in	in
.	.	.

i	i	i
had	had	had
a	a	a
a	a	a
/	/	/
c	c	c
installed	instal	installed
by	by	by
the	the	the
ford	ford	ford
garage	garag	garage
and	and	and
it	it	it
did	did	did
not	not	not

>	>	>
work	work	work
as	as	a
well	well	well
as	as	a
the	the	the
a	a	a
/	/	/
c	c	c
that	that	that
was	was	wa
installed	instal	installed
by	by	by
the	the	the
factory	factori	factory
in	in	in
pickups	pickup	pickup

>	>	>
identical	ident	identical
to	to	to
mine	mine	mine
.	.	.

i	i	i
have	have	have
talked	talk	talked
to	to	to
other	other	other
people	peopl	people
that	that	that
have	have	have
had	had	had
the	the	the
same	same	same

>	>	>
result	result	result
.	.	.

don	don	don
'	'	'
t	t	t
know	know	know
if	if	if
this	this	this
is	is	is
