from	from	from
:	:	:
gharriso@hpcc01.corp.hp.com	gharriso@hpcc01.corp.hp.com	gharriso@hpcc01.corp.hp.com
(	(	(
graeme	graem	graeme
harrison	harrison	harrison
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
goldwing	goldw	goldwing
performance	perform	performance

organization	organ	organization
:	:	:
the	the	the
hp	hp	hp
corporate	corpor	corporate
notes	note	note
server	server	server

lines	line	line
:	:	:
36	36	36

/	/	/
hpcc01	hpcc01	hpcc01
:	:	:
rec	rec	rec
.	.	.
motorcycles	motorcycl	motorcycle
/	/	/
stafford@vax2.winona.msus.edu	stafford@vax2.winona.msus.edu	stafford@vax2.winona.msus.edu
(	(	(
john	john	john
stafford	stafford	stafford
)	)	)
/	/	/
11:06 am	11:06 am	11:06 am
apr	apr	apr
1	1	1
,	,	,
1993	1993	1993
/	/	/
in	in	in
article	articl	article
<	<	<
1pf2hs	1pf2hs	1pf2hs
$	$	$
b4d@transfer.stratus.com	b4d@transfer.stratus.com	b4d@transfer.stratus.com
>	>	>
,	,	,
cdodson@beast.cac.stratus.com	cdodson@beast.cac.stratus.com	cdodson@beast.cac.stratus.com

(	(	(
r	r	r
.	.	.

craig	craig	craig
dodson	dodson	dodson
)	)	)
wrote	wrote	wrote
:	:	:

>	>	>
from	from	from
the	the	the
summary	summari	summary
in	in	in
the	the	the
back	back	back
of	of	of
motorcyclist	motorcyclist	motorcyclist
,	,	,
they	they	they
run	run	run
the	the	the
1	1	1
/	/	/
4	4	4
in	in	in

>	>	>
13	13	13
.	.	.
07	07	07
at	at	at
about	about	about
100	100	100
mph	mph	mph
.	.	.

interestingly	interest	interestingly
enough	enough	enough
,	,	,
this	this	this
winnebago	winnebago	winnebago
of	of	of
bikes	bike	bike

>	>	>
is	is	is
faster	faster	faster
than	than	than
any	ani	any
of	of	of
the	the	the
harleys	harley	harleys
listed	list	listed
.	.	.

it	it	it
depreciates	depreci	depreciates
much	much	much
faster	faster	faster
,	,	,
too	too	too
.	.	.

=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
