from	from	from
:	:	:
jlevine@rd.hydro.on.ca	jlevine@rd.hydro.on.ca	jlevine@rd.hydro.on.ca
(	(	(
jody	jodi	jody
levine	levin	levine
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
countersteering_faq	countersteering_faq	countersteering_faq
please	pleas	please
post	post	post

organization	organ	organization
:	:	:
ontario	ontario	ontario
hydro	hydro	hydro
-	-	-
research	research	research
division	divis	division

lines	line	line
:	:	:
73	73	73

in	in	in
article	articl	article
<	<	<
1qjn7i	1qjn7i	1qjn7i
$	$	$
d0i@sixgun.east.sun.com	d0i@sixgun.east.sun.com	d0i@sixgun.east.sun.com
>	>	>
egreen@east.sun.com	egreen@east.sun.com	egreen@east.sun.com
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
26051@rd.hydro.on.ca	26051@rd.hydro.on.ca	26051@rd.hydro.on.ca
,	,	,
jlevine@rd.hydro.on.ca	jlevine@rd.hydro.on.ca	jlevine@rd.hydro.on.ca
(	(	(
jody	jodi	jody
levine	levin	levine
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
in	in	in
article	articl	article
<	<	<
1qc529	1qc529	1qc529
$	$	$
c1r@sixgun.east.sun.com	c1r@sixgun.east.sun.com	c1r@sixgun.east.sun.com
>	>	>
egreen@east.sun.com	egreen@east.sun.com	egreen@east.sun.com
writes	write	writes
:	:	:

>	>	>

>	>	>
>	>	>
>	>	>
single	singl	single
-	-	-
track	track	track
snow	snow	snow
vehicles	vehicl	vehicle
with	with	with
front	front	front
skis	ski	ski
,	,	,
and	and	and
snow	snow	snow
skis	ski	ski
attached	attach	attached
to	to	to

>	>	>
>	>	>
>	>	>
skiers	skier	skier
'	'	'
legs	leg	leg
,	,	,
deform	deform	deform
the	the	the
surface	surfac	surface
of	of	of
the	the	the
snow	snow	snow
,	,	,
creating	creat	creating
their	their	their
own	own	own
bank	bank	bank
.	.	.

>	>	>
>	>	>
>	>	>
ice	ice	ice
skates	skate	skate
alter	alter	alter
the	the	the
phase	phase	phase
of	of	of
the	the	the
ice	ice	ice
,	,	,
and	and	and
also	also	also
"	"	"
carve	carv	carve
"	"	"
out	out	out
their	their	their
own	own	own

>	>	>
>	>	>
>	>	>
tracks	track	track
.	.	.

>	>	>
>	>	>
so	so	so
what	what	what
?	?	?

>	>	>

>	>	>
so	so	so
they	they	they
have	have	have
bugger	bugger	bugger
all	all	all
to	to	to
do	do	do
with	with	with
motorcycles	motorcycl	motorcycle
.	.	.

hence	henc	hence
,	,	,
any	ani	any
apparent	appar	apparent

>	>	>
similarity	similar	similarity
in	in	in
handling	handl	handling
characteristics	characterist	characteristic
may	may	may
,	,	,
or	or	or
may	may	may
*	*	*
not	not	not
*	*	*
be	be	be
analagous	analag	analagous

>	>	>
in	in	in
its	it	it
underlying	under	underlying
physics	physic	physic
to	to	to
that	that	that
behind	behind	behind
motorcycle	motorcycl	motorcycle
handling	handl	handling

>	>	>
characteristics	characterist	characteristic
.	.	.

ok	ok	ok
,	,	,
as	as	a
one	one	one
last	last	last
attempt	attempt	attempt
,	,	,
i	i	i
'	'	'
ll	ll	ll
take	take	take
a	a	a
different	differ	different
tack	tack	tack
.	.	.

we	we	we
all	all	all
seem	seem	seem
to	to	to
be	be	be
in	in	in
agreement	agreement	agreement
that	that	that
there	there	there
are	are	are
two	two	two
explanations	explan	explanation
for	for	for
why	whi	why
one	one	one
can	can	can
use	use	use
the	the	the
handlebars	handlebar	handlebar
to	to	to
lean	lean	lean
a	a	a
moving	move	moving
motorcycle	motorcycl	motorcycle
.	.	.

the	the	the
question	question	question
is	is	is
,	,	,
is	is	is
one	one	one
of	of	of
the	the	the
effect	effect	effect
dominant	domin	dominant
,	,	,
and	and	and
which	which	which
one	one	one
is	is	is
it	it	it
?	?	?

the	the	the
idea	idea	idea
would	would	would
be	be	be
to	to	to
design	design	design
an	an	an
experiment	experi	experiment
which	which	which
would	would	would
seaprate	seaprat	seaprate
the	the	the
two	two	two
characteristics	characterist	characteristic
,	,	,
and	and	and
see	see	see
which	which	which
effect	effect	effect
produces	produc	produce
a	a	a
similar	similar	similar
result	result	result
to	to	to
the	the	the
one	one	one
with	with	with
which	which	which
those	those	those
of	of	of
us	us	u
who	who	who
have	have	have
bikes	bike	bike
are	are	are
familiar	familiar	familiar
.	.	.

let	let	let
'	'	'
s	s	s
look	look	look
at	at	at
the	the	the
one	one	one
that	that	that
,	,	,
so	so	so
far	far	far
,	,	,
has	has	ha
sparked	spark	sparked
no	no	no
controversy	controversi	controversy
on	on	on
its	it	it
own	own	own
,	,	,
gyroscopic	gyroscop	gyroscopic
precession	precess	precession
.	.	.

to	to	to
examine	examin	examine
this	this	this
alone	alon	alone
,	,	,
we	we	we
would	would	would
have	have	have
to	to	to
get	get	get
rid	rid	rid
of	of	of
the	the	the
contact	contact	contact
patch	patch	patch
effect	effect	effect
,	,	,
by	by	by
not	not	not
allowing	allow	allowing
the	the	the
