from	from	from
:	:	:
delarocq@eos.ncsu.edu	delarocq@eos.ncsu.edu	delarocq@eos.ncsu.edu
(	(	(
derrell	derrel	derrell
emery	emeri	emery
larocque	larocqu	larocque
)	)	)

subject	subject	subject
:	:	:
buffalo	buffalo	buffalo
4	4	4
,	,	,
boston	boston	boston
0	0	0
:	:	:
defense	defens	defense
!	!	!
!	!	!

reply	repli	reply
-	-	-
to	to	to
:	:	:
delarocq@eos.ncsu.edu	delarocq@eos.ncsu.edu	delarocq@eos.ncsu.edu
(	(	(
derrell	derrel	derrell
emery	emeri	emery
larocque	larocqu	larocque
)	)	)

organization	organ	organization
:	:	:
north	north	north
carolina	carolina	carolina
state	state	state
university	univers	university
,	,	,
project	project	project
eos	eo	eos

lines	line	line
:	:	:
26	26	26

originator	origin	originator
:	:	:
delarocq@c00082-100lez.eos.ncsu.edu	delarocq@c00082-100lez.eos.ncsu.edu	delarocq@c00082-100lez.eos.ncsu.edu

tonight	tonight	tonight
in	in	in
boston	boston	boston
,	,	,
the	the	the
buffalo	buffalo	buffalo
sabres	sabr	sabre
blanked	blank	blanked
the	the	the
boston	boston	boston
bruins	bruin	bruin
4	4	4
-	-	-
0	0	0
tonight	tonight	tonight
in	in	in
boston	boston	boston
.	.	.

looks	look	look
like	like	like
boston	boston	boston
can	can	can
hang	hang	hang
this	this	this
season	season	season
up	up	up
,	,	,
because	becaus	because
buffalo	buffalo	buffalo
'	'	'
s	s	s
home	home	home
record	record	record
is	is	is
awesome	awesom	awesome
!	!	!
!	!	!
!	!	!
!	!	!

this	this	this
is	is	is
great	great	great
.	.	.
.	.	.

buffalo	buffalo	buffalo
fans	fan	fan
might	might	might
get	get	get
to	to	to
see	see	see
revenge	reveng	revenge
for	for	for
last	last	last
year	year	year
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!

:	:	:
)	)	)

-	-	-
-	-	-
delarocq@eos.ncsu.edu	delarocq@eos.ncsu.edu	delarocq@eos.ncsu.edu

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
1988	1988	1988
,	,	,
1989	1989	1989
,	,	,
1990	1990	1990
,	,	,
1991	1991	1991
afc	afc	afc
east	east	east
division	divis	division
champions	champion	champion
1991	1991	1991
,	,	,
1992	1992	1992
,	,	,
and	and	and
1993	1993	1993
afc	afc	afc
conference	confer	conference
champions	champion	champion
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!

:	:	:
)	)	)

squished	squish	squished
the	the	the
fish	fish	fish
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.

monday	monday	monday
night	night	night
football	footbal	football
,	,	,
november	novemb	november
16	16	16
,	,	,
1992	1992	1992
.	.	.
.	.	.

squished	squish	squished
the	the	the
trash	trash	trash
talking	talk	talking
fish	fish	fish
.	.	.
.	.	.

afc	afc	afc
championship	championship	championship
,	,	,
january	januari	january
17	17	17
,	,	,
1992	1992	1992
.	.	.
.	.	.

if	if	if
you	you	you
are	are	are
a	a	a
buffalo	buffalo	buffalo
bills	bill	bill
fan	fan	fan
,	,	,
email	email	email
me	me	me
at	at	at
delarocq@eos.ncsu.edu	delarocq@eos.ncsu.edu	delarocq@eos.ncsu.edu
so	so	so
we	we	we
can	can	can
talk	talk	talk
all	all	all
about	about	about
the	the	the
games	game	game
,	,	,
insight	insight	insight
,	,	,
etc	etc	etc
.	.	.

if	if	if
you	you	you
are	are	are
a	a	a
packers	packer	packer
fan	fan	fan
,	,	,
let	let	let
me	me	me
know	know	know
.	.	.

i	i	i
am	am	am
interested	interest	interested
in	in	in
any	ani	any
news	news	news
out	out	out
of	of	of
green	green	green
bay	bay	bay
.	.	.
.	.	.
.	.	.
