from	from	from
:	:	:
c5ff@jupiter.sun.csd.unb.ca	c5ff@jupiter.sun.csd.unb.ca	c5ff@jupiter.sun.csd.unb.ca
(	(	(
cook	cook	cook
charlie	charli	charlie
)	)	)

subject	subject	subject
:	:	:
nhl	nhl	nhl
summary	summari	summary
parse	pars	parse
results	result	result
for	for	for
games	game	game
played	play	played
sun	sun	sun
,	,	,
april	april	april
18	18	18
,	,	,
1993	1993	1993

organization	organ	organization
:	:	:
university	univers	university
of	of	of
new	new	new
brunswick	brunswick	brunswick

lines	line	line
:	:	:
219	219	219

new	new	new
jersey	jersey	jersey
1	1	1
0	0	0
2	2	2
-	-	-
-	-	-
3	3	3
pittsburgh	pittsburgh	pittsburgh
2	2	2
3	3	3
1	1	1
-	-	-
-	-	-
6	6	6
first	first	first
period	period	period

1	1	1
,	,	,
pittsburgh	pittsburgh	pittsburgh
,	,	,
tocchet	tocchet	tocchet
1	1	1
(	(	(
stevens	steven	stevens
,	,	,
lemieux	lemieux	lemieux
)	)	)
pp	pp	pp
,	,	,
1	1	1
:	:	:
40	40	40
.	.	.

2	2	2
,	,	,
new	new	new
jersey	jersey	jersey
,	,	,
barr	barr	barr
1	1	1
(	(	(
guerin	guerin	guerin
,	,	,
holik	holik	holik
)	)	)
6	6	6
:	:	:
24	24	24
.	.	.

3	3	3
,	,	,
pittsburgh	pittsburgh	pittsburgh
,	,	,
lemieux	lemieux	lemieux
1	1	1
(	(	(
jagr	jagr	jagr
,	,	,
ramsey	ramsey	ramsey
)	)	)
9	9	9
:	:	:
33	33	33
.	.	.

second	second	second
period	period	period

4	4	4
,	,	,
pittsburgh	pittsburgh	pittsburgh
,	,	,
lemieux	lemieux	lemieux
2	2	2
(	(	(
stevens	steven	stevens
,	,	,
murphy	murphi	murphy
)	)	)
pp	pp	pp
,	,	,
4	4	4
:	:	:
11	11	11
.	.	.

5	5	5
,	,	,
pittsburgh	pittsburgh	pittsburgh
,	,	,
francis	franci	francis
1	1	1
(	(	(
ramsey	ramsey	ramsey
,	,	,
mullen	mullen	mullen
)	)	)
12	12	12
:	:	:
57	57	57
.	.	.

6	6	6
,	,	,
pittsburgh	pittsburgh	pittsburgh
,	,	,
tippett	tippett	tippett
1	1	1
(	(	(
jagr	jagr	jagr
,	,	,
mceachern	mceachern	mceachern
)	)	)
17	17	17
