from	from	from
:	:	:
louie@sayshell.umd.edu	louie@sayshell.umd.edu	louie@sayshell.umd.edu
(	(	(
louis	loui	louis
a	a	a
.	.	.

mamakos	mamako	mamakos
)	)	)
subject	subject	subject
:	:	:
re	re	re
:	:	:
once	onc	once
tapped	tap	tapped
,	,	,
your	your	your
code	code	code
is	is	is
no	no	no
good	good	good
any	ani	any
more	more	more
.	.	.

distribution	distribut	distribution
:	:	:
na	na	na

organization	organ	organization
:	:	:
the	the	the
university	univers	university
of	of	of
maryland	maryland	maryland
,	,	,
college	colleg	college
park	park	park

lines	line	line
:	:	:
14	14	14

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
sayshell	sayshel	sayshell
.	.	.
umd	umd	umd
.	.	.
edu	edu	edu

in	in	in
article	articl	article
<	<	<
tcmayc5m2xv.jex@netcom.com	tcmayc5m2xv.jex@netcom.com	tcmayc5m2xv.jex@netcom.com
>	>	>
tcmay@netcom.com	tcmay@netcom.com	tcmay@netcom.com
(	(	(
timothy	timothi	timothy
c	c	c
.	.	.

may	may	may
)	)	)
writes	write	writes
:	:	:

>	>	>
but	but	but
is	is	is
it	it	it
any	ani	any
worse	wors	worse
than	than	than
the	the	the
current	current	current
unsecure	unsecur	unsecure
system	system	system
?	?	?

it	it	it
becomes	becom	becomes
much	much	much

>	>	>
worse	wors	worse
,	,	,
of	of	of
course	cours	course
,	,	,
if	if	if
the	the	the
government	govern	government
then	then	then
uses	use	us
this	this	this
"	"	"
clinton	clinton	clinton
clipper	clipper	clipper
"	"	"

>	>	>
to	to	to
argue	argu	argue
for	for	for
restrictions	restrict	restriction
on	on	on
unapproved	unapprov	unapproved
encryption	encrypt	encryption
.	.	.

(	(	(
this	this	this
is	is	is
the	the	the
main	main	main

>	>	>
concern	concern	concern
of	of	of
most	most	most
of	of	of
us	us	u
,	,	,
i	i	i
think	think	think
.	.	.

the	the	the
camel	camel	camel
'	'	'
s	s	s
nose	nose	nose
in	in	in
the	the	the
tent	tent	tent
,	,	,
etc	etc	etc
.	.	.
)	)	)

excuse	excus	excuse
me	me	me
?	?	?

this	this	this
has	has	ha
*	*	*
already	alreadi	already
*	*	*
happened	happen	happened
.	.	.

there	there	there
'	'	'
s	s	s
a	a	a
couple	coupl	couple
of	of	of
humps	hump	hump
in	in	in
the	the	the
tent	tent	tent
already	alreadi	already
.	.	.

ask	ask	ask
the	the	the
folks	folk	folk
at	at	at
qualcomm	qualcomm	qualcomm
what	what	what
became	becam	became
of	of	of
the	the	the
non	non	non
-	-	-
trivial	trivial	trivial
encryption	encrypt	encryption
scheme	scheme	scheme
they	they	they
proposed	propos	proposed
for	for	for
use	use	use
in	in	in
their	their	their
cdma	cdma	cdma
digitial	digiti	digitial
cellular	cellular	cellular
phone	phone	phone
standard	standard	standard
?	?	?

there	there	there
*	*	*
already	alreadi	already
*	*	*
are	are	are
restrictions	restrict	restriction
in	in	in
place	place	place
.	.	.

louis	loui	louis
mamakos	mamako	mamakos
