from	from	from
:	:	:
fculpepp@norfolk.vak12ed.edu	fculpepp@norfolk.vak12ed.edu	fculpepp@norfolk.vak12ed.edu
(	(	(
fred	fred	fred
w	w	w
.	.	.

culpepper	culpepp	culpepper
)	)	)
subject	subject	subject
:	:	:
cad	cad	cad
program	program	program
for	for	for
electronics	electron	electronics
?	?	?

organization	organ	organization
:	:	:
virginia	virginia	virginia
'	'	'
s	s	s
public	public	public
education	educ	education
network	network	network
(	(	(
norfolk	norfolk	norfolk
)	)	)

lines	line	line
:	:	:
19	19	19

i	i	i
am	am	am
making	make	making
a	a	a
search	search	search
for	for	for
a	a	a
cad	cad	cad
program	program	program
that	that	that
does	doe	doe
a	a	a
decent	decent	decent
job	job	job
of	of	of
making	make	making
schematic	schemat	schematic
drawings	draw	drawing
.	.	.

the	the	the
program	program	program
needs	need	need
to	to	to
be	be	be
in	in	in
ms	ms	m
-	-	-
dos	dos	do
,	,	,
windows	window	window
if	if	if
possible	possibl	possible
.	.	.

what	what	what
i	i	i
want	want	want
the	the	the
cad	cad	cad
program	program	program
to	to	to
do	do	do
is	is	is
to	to	to
draw	draw	draw
diagrams	diagram	diagram
by	by	by
dragging	drag	dragging
elements	element	element
onto	onto	onto
the	the	the
screen	screen	screen
,	,	,
and	and	and
in	in	in
this	this	this
the	the	the
elements	element	element
needed	need	needed
are	are	are
as	as	a
diverse	divers	diverse
as	as	a
vacuum	vacuum	vacuum
tubes	tube	tube
to	to	to
ics	ic	ic
(	(	(
case	case	case
with	with	with
pins	pin	pin
)	)	)
.	.	.

it	it	it
also	also	also
needs	need	need
to	to	to
have	have	have
provision	provis	provision
for	for	for
adding	ad	adding
legends	legend	legend
to	to	to
the	the	the
components	compon	component
as	as	a
well	well	well
as	as	a
their	their	their
values	valu	value
.	.	.

in	in	in
other	other	other
words	word	word
i	i	i
want	want	want
to	to	to
produce	produc	produce
quality	qualiti	quality
drawings	draw	drawing
.	.	.

printout	printout	printout
would	would	would
be	be	be
to	to	to
either	either	either
24	24	24
pin	pin	pin
dot	dot	dot
-	-	-
matrix	matrix	matrix
and	and	and
/	/	/
or	or	or
laser	laser	laser
printer	printer	printer
.	.	.

if	if	if
you	you	you
know	know	know
of	of	of
such	such	such
a	a	a
cad	cad	cad
program	program	program
that	that	that
is	is	is
of	of	of
reasonable	reason	reasonable
cost	cost	cost
,	,	,
please	pleas	please
respond	respond	respond
.	.	.

fred	fred	fred
w	w	w
.	.	.

culpepper	culpepp	culpepper
old	old	old
dominion	dominion	dominion
university	univers	university
(	(	(
retired	retir	retired
)	)	)
fculpepp@norfolk.vak12ed.edu	fculpepp@norfolk.vak12ed.edu	fculpepp@norfolk.vak12ed.edu

-	-	-
-	-	-
-	-	-
