from	from	from
:	:	:
shafer@rigel.dfrf.nasa.gov	shafer@rigel.dfrf.nasa.gov	shafer@rigel.dfrf.nasa.gov
(	(	(
mary	mari	mary
shafer	shafer	shafer
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
space	space	space
research	research	research
spin	spin	spin
off	off	off

in	in	in
-	-	-
reply	repli	reply
-	-	-
to	to	to
:	:	:
prb@access.digex.com	prb@access.digex.com	prb@access.digex.com
'	'	'
s	s	s
message	messag	message
of	of	of
6	6	6
apr	apr	apr
1993	1993	1993
14	14	14
:	:	:
06	06	06
:	:	:
57	57	57
-	-	-
0400	0400	0400

organization	organ	organization
:	:	:
nasa	nasa	nasa
dryden	dryden	dryden
,	,	,
edwards	edward	edward
,	,	,
cal	cal	cal
.	.	.

<	<	<
pgf.734062799@srl03.cacs.usl.edu	pgf.734062799@srl03.cacs.usl.edu	pgf.734062799@srl03.cacs.usl.edu
>	>	>

<	<	<
shafer.93apr6094402@rigel.dfrf.nasa.gov	shafer.93apr6094402@rigel.dfrf.nasa.gov	shafer.93apr6094402@rigel.dfrf.nasa.gov
>	>	>
<	<	<
1psgs1	1psgs1	1psgs1
$	$	$
so4@access.digex.net	so4@access.digex.net	so4@access.digex.net
>	>	>
lines	line	line
:	:	:
38	38	38

on	on	on
6	6	6
apr	apr	apr
1993	1993	1993
14	14	14
:	:	:
06	06	06
:	:	:
57	57	57
-	-	-
0400	0400	0400
,	,	,
prb@access.digex.com	prb@access.digex.com	prb@access.digex.com
(	(	(
pat	pat	pat
)	)	)
said	said	said
:	:	:

pat	pat	pat
>	>	>
in	in	in
article	articl	article
<	<	<
shafer.93apr6094402@rigel.dfrf.nasa.gov	shafer.93apr6094402@rigel.dfrf.nasa.gov	shafer.93apr6094402@rigel.dfrf.nasa.gov
>	>	>
pat	pat	pat
>	>	>
shafer@rigel.dfrf.nasa.gov	shafer@rigel.dfrf.nasa.gov	shafer@rigel.dfrf.nasa.gov
(	(	(
mary	mari	mary
shafer	shafer	shafer
)	)	)
writes	write	writes
:	:	:

>	>	>
successful	success	successful
we	we	we
were	were	were
.	.	.

(	(	(
mind	mind	mind
you	you	you
,	,	,
the	the	the
avro	avro	avro
arrow	arrow	arrow
and	and	and
the	the	the
x	x	x
-	-	-
15	15	15
were	were	were
both	both	both

>	>	>
fly	fli	fly
-	-	-
by	by	by
-	-	-
wire	wire	wire
aircraft	aircraft	aircraft
much	much	much
earlier	earlier	earlier
,	,	,
but	but	but
analog	analog	analog
.	.	.
)	)	)

>	>	>

pat	pat	pat
>	>	>
gee	gee	gee
,	,	,
i	i	i
thought	thought	thought
the	the	the
x	x	x
-	-	-
15	15	15
was	was	wa
