from	from	from
:	:	:
pmoloney@maths.tcd.ie	pmoloney@maths.tcd.i	pmoloney@maths.tcd.ie
(	(	(
paul	paul	paul
moloney	moloney	moloney
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
am	am	am
i	i	i
going	go	going
to	to	to
hell	hell	hell
?	?	?

organization	organ	organization
:	:	:
somewhere	somewher	somewhere
in	in	in
the	the	the
twentieth	twentieth	twentieth
century	centuri	century

lines	line	line
:	:	:
17	17	17

xopr131@maccvm.corp.mot.com	xopr131@maccvm.corp.mot.com	xopr131@maccvm.corp.mot.com
(	(	(
gerald	gerald	gerald
mcpherson	mcpherson	mcpherson
)	)	)
writes	write	writes
:	:	:

>	>	>
if	if	if
you	you	you
reject	reject	reject
the	the	the
claims	claim	claim
of	of	of
jesus	jesus	jesus
,	,	,
and	and	and
still	still	still
go	go	go
to	to	to

>	>	>
heaven	heaven	heaven
,	,	,
then	then	then
the	the	the
joke	joke	joke
'	'	'
s	s	s
on	on	on
me	me	me
.	.	.

if	if	if
you	you	you
reject	reject	reject
him	him	him
and	and	and
go	go	go
to	to	to
hell	hell	hell
,	,	,
>	>	>
that	that	that
'	'	'
s	s	s
no	no	no
joke	joke	joke
,	,	,
but	but	but
it	it	it
will	will	will
be	be	be
final	final	final
.	.	.

if	if	if
this	this	this
is	is	is
god	god	god
'	'	'
s	s	s
attitude	attitud	attitude
,	,	,
then	then	then
i	i	i
'	'	'
ll	ll	ll
think	think	think
i	i	i
'	'	'
ll	ll	ll
go	go	go
along	along	along
with	with	with
terry	terri	terry
pratchett	pratchett	pratchett
'	'	'
s	s	s
religious	religi	religious
philosophy	philosophi	philosophy
:	:	:

"	"	"
oh	oh	oh
,	,	,
i	i	i
believe	believ	believe
in	in	in
god	god	god
.	.	.

i	i	i
just	just	just
don	don	don
'	'	'
t	t	t
actually	actual	actually
_like_	_like_	_like_
the	the	the
blighter	blighter	blighter
.	.	.
"	"	"

p	p	p
.	.	.

-	-	-
-	-	-

moorcockpratchettdenislearydelasoulu2iainmbanksneworderheathersbatmanpjorourke	moorcockpratchettdenislearydelasoulu2iainmbanksneworderheathersbatmanpjorourk	moorcockpratchettdenislearydelasoulu2iainmbanksneworderheathersbatmanpjorourke
clive	clive	clive
p	p	p
a	a	a
u	u	u
l	l	l
m	m	m
o	o	o
l	l	l
o	o	o
n	n	n
e	e	e
y	y	y
come	come	come
,	,	,
let	let	let
us	us	u
retract	retract	retract
the	the	the
foreskin	foreskin	foreskin
of	of	of
misconception	misconcept	misconception
james	jame	james
trinity	triniti	trinity
college	colleg	college
dublin	dublin	dublin
and	and	and
apply	appli	apply
the	the	the
wire	wire	wire
brush	brush	brush
of	of	of
enlightenment	enlighten	enlightenment
-	-	-
geoffm	geoffm	geoffm

brownbladerunnersugarcubeselectronicblaylockpowersspikeleekatebushhamcornpizza	brownbladerunnersugarcubeselectronicblaylockpowersspikeleekatebushhamcornpizza	brownbladerunnersugarcubeselectronicblaylockpowersspikeleekatebushhamcornpizza
