from	from	from
:	:	:
jhpb@sarto.budd-lake.nj.us	jhpb@sarto.budd-lake.nj.us	jhpb@sarto.budd-lake.nj.us
(	(	(
joseph	joseph	joseph
h	h	h
.	.	.

buehler	buehler	buehler
)	)	)
subject	subject	subject
:	:	:
re	re	re
:	:	:
sspx	sspx	sspx
schism	schism	schism
?	?	?

organization	organ	organization
:	:	:
none	none	none

lines	line	line
:	:	:
182	182	182

here	here	here
is	is	is
some	some	some
material	materi	material
by	by	by
michael	michael	michael
davies	davi	davy
on	on	on
the	the	the
subject	subject	subject
of	of	of
schism	schism	schism
in	in	in
general	general	general
and	and	and
archishop	archishop	archishop
lefebvre	lefebvr	lefebvre
in	in	in
particular	particular	particular
.	.	.

he	he	he
wrote	wrote	wrote
it	it	it
around	around	around
1990	1990	1990
.	.	.

the	the	the
first	first	first
part	part	part
of	of	of
the	the	the
two	two	two
-	-	-
part	part	part
article	articl	article
was	was	wa
on	on	on
the	the	the
scandalous	scandal	scandalous
activities	activ	activity
of	of	of
archbishop	archbishop	archbishop
weakland	weakland	weakland
(	(	(
in	in	in
this	this	this
country	countri	country
)	)	)
,	,	,
but	but	but
i	i	i
cut	cut	cut
all	all	all
that	that	that
.	.	.

and	and	and
i	i	i
pared	pare	pared
down	down	down
the	the	the
rest	rest	rest
to	to	to
what	what	what
was	was	wa
relevant	relev	relevant
.	.	.

joe	joe	joe
buehler	buehler	buehler

.	.	.
.	.	.
.	.	.

schism	schism	schism
and	and	and
disobedience	disobedi	disobedience

according	accord	according
to	to	to
st. thomas	st. thoma	st. thomas
aquinas	aquina	aquinas
,	,	,
schism	schism	schism
consists	consist	consists
primarily	primarili	primarily
in	in	in
a	a	a
refusal	refus	refusal
of	of	of
submission	submiss	submission
to	to	to
the	the	the
pope	pope	pope
or	or	or
communion	communion	communion
with	with	with
the	the	the
members	member	member
of	of	of
the	the	the
church	church	church
united	unit	united
to	to	to
him	him	him
.	.	.

on	on	on
first	first	first
sight	sight	sight
it	it	it
would	would	would
appear	appear	appear
that	that	that
,	,	,
whatever	whatev	whatever
the	the	the
subjective	subject	subjective
motivation	motiv	motivation
of	of	of
the	the	the
archbishop	archbishop	archbishop
,	,	,
as	as	a
discussed	discuss	discussed
above	abov	above
,	,	,
he	he	he
must	must	must
be	be	be
in	in	in
a	a	a
state	state	state
of	of	of
objective	object	objective
schism	schism	schism
as	as	a
he	he	he
has	has	ha
refused	refus	refused
to	to	to
submit	submit	submit
to	to	to
the	the	the
pope	pope	pope
on	on	on
a	a	a
very	veri	very
grave	grave	grave
matter	matter	matter
involving	involv	involving
his	his	his
supreme	suprem	supreme
power	power	power
of	of	of
jurisdiction	jurisdict	jurisdiction
.	.	.

however	howev	however
,	,	,
standard	standard	standard
catholic	cathol	catholic
textbooks	textbook	textbook
of	of	of
theology	theolog	theology
make	make	make
it	it	it
clear	clear	clear
that	that	that
while	while	while
all	all	all
schisms	schism	schism
involve	involv	involve
disobedience	disobedi	disobedience
not	not	not
all	all	all
acts	act	act
of	of	of
disobedience	disobedi	disobedience
are	are	are
schismatic	schismat	schismatic
.	.	.

if	if	if
this	this	this
were	were	were
so	so	so
,	,	,
as	as	a
was	was	wa
noted	note	noted
at	at	at
the	the	the
beginning	begin	beginning
of	of	of
this	this	this
article	articl	article
,	,	,
it	it	it
would	would	would
mean	mean	mean
that	that	that
the	the	the
number	number	number
of	of	of
american	american	american
bishops	bishop	bishop
who	who	who
are	are	are
not	not	not
schismatic	schismat	schismatic
would	would	would
not	not	not
reach	reach	reach
double	doubl	double
figures	figur	figure
.	.	.

the	the	the
distinction	distinct	distinction
between	between	between
disobedience	disobedi	disobedience
and	and	and
schism	schism	schism
is	is	is
made	made	made
very	veri	very
clear	clear	clear
in	in	in
the	the	the
article	articl	article
on	on	on
schism	schism	schism
in	in	in
the	the	the
very	veri	very
authoritative	authorit	authoritative
dictionnaire	dictionnair	dictionnaire
de	de	de
theologie	theologi	theologie
catholique	catholiqu	catholique
.	.	.

the	the	the
article	articl	article
is	is	is
by	by	by
father	father	father
yves	yves	yves
congar	congar	congar
who	who	who
is	is	is
certainly	certain	certainly
no	no	no
friend	friend	friend
of	of	of
archbishop	archbishop	archbishop
