from	from	from
:	:	:
sera@zuma.uucp	sera@zuma.uucp	sera@zuma.uucp
(	(	(
serdar	serdar	serdar
argic	argic	argic
)	)	)

subject	subject	subject
:	:	:
let	let	let
the	the	the
turks	turk	turk
speak	speak	speak
for	for	for
themselves	themselv	themselves
.	.	.

reply	repli	reply
-	-	-
to	to	to
:	:	:
sera@zuma.uucp	sera@zuma.uucp	sera@zuma.uucp
(	(	(
serdar	serdar	serdar
argic	argic	argic
)	)	)

distribution	distribut	distribution
:	:	:
world	world	world

lines	line	line
:	:	:
95	95	95

in	in	in
article	articl	article
<	<	<
1993apr16.142935.535@cs.yale.edu	1993apr16.142935.535@cs.yale.edu	1993apr16.142935.535@cs.yale.edu
>	>	>
karage@scus1.ctstateu.edu	karage@scus1.ctstateu.edu	karage@scus1.ctstateu.edu
(	(	(
angelos	angelo	angelos
karageorgiou	karageorgiou	karageorgiou
)	)	)
writes	write	writes
:	:	:

>	>	>
if	if	if
turks	turk	turk
in	in	in
greece	greec	greece
were	were	were
so	so	so
badly	bad	badly
mistreated	mistreat	mistreated
how	how	how
come	come	come
they	they	they

>	>	>
elected	elect	elected
two	two	two
,	,	,
m	m	m
not	not	not
one	one	one
but	but	but
two	two	two
,	,	,
representatives	repres	representative
in	in	in
the	the	the
greek	greek	greek
government	govern	government
?	?	?

pardon	pardon	pardon
me	me	me
?	?	?

"	"	"
greece	greec	greece
government	govern	government
rail	rail	rail
-	-	-
roads	road	road
two	two	two
turkish	turkish	turkish
ethnic	ethnic	ethnic
deputies	deputi	deputy
"	"	"

while	while	while
world	world	world
human	human	human
rights	right	right
organizations	organ	organization
scream	scream	scream
,	,	,
greeks	greek	greek
persistently	persist	persistently
work	work	work
on	on	on
removing	remov	removing
the	the	the
parliamentary	parliamentari	parliamentary
immunity	immun	immunity
of	of	of
dr. sadik	dr. sadik	dr. sadik
ahmet	ahmet	ahmet
and	and	and
mr. ahmet	mr. ahmet	mr. ahmet
faikoglu	faikoglu	faikoglu
.	.	.

dr. sadik	dr. sadik	dr. sadik
ahmet	ahmet	ahmet
,	,	,
turkish	turkish	turkish
