from	from	from
:	:	:
sera@zuma.uucp	sera@zuma.uucp	sera@zuma.uucp
(	(	(
serdar	serdar	serdar
argic	argic	argic
)	)	)

subject	subject	subject
:	:	:
the	the	the
wholesale	wholesal	wholesale
extermination	extermin	extermination
of	of	of
the	the	the
muslim	muslim	muslim
population	popul	population
by	by	by
the	the	the
armenians	armenian	armenian
.	.	.

reply	repli	reply
-	-	-
to	to	to
:	:	:
sera@zuma.uucp	sera@zuma.uucp	sera@zuma.uucp
(	(	(
serdar	serdar	serdar
argic	argic	argic
)	)	)

distribution	distribut	distribution
:	:	:
world	world	world

lines	line	line
:	:	:
82	82	82

in	in	in
article	articl	article
<	<	<
c5yjii.e6b@blaze.cs.jhu.edu	c5yjii.e6b@blaze.cs.jhu.edu	c5yjii.e6b@blaze.cs.jhu.edu
>	>	>
arromdee@jyusenkyou.cs.jhu.edu	arromdee@jyusenkyou.cs.jhu.edu	arromdee@jyusenkyou.cs.jhu.edu
(	(	(
ken	ken	ken
arromdee	arromde	arromdee
)	)	)
writes	write	writes
:	:	:

>	>	>
but	but	but
some	some	some
of	of	of
this	this	this
is	is	is
verifiable	verifi	verifiable
information	inform	information
.	.	.

for	for	for
instance	instanc	instance
,	,	,
the	the	the
person	person	person
who	who	who

>	>	>
knows	know	know
about	about	about
the	the	the
buggy	buggi	buggy
product	product	product
may	may	may
be	be	be
able	abl	able
to	to	to
tell	tell	tell
you	you	you
how	how	how
to	to	to
reproduce	reproduc	reproduce
the	the	the

>	>	>
bug	bug	bug
on	on	on
your	your	your
own	own	own
,	,	,
but	but	but
still	still	still
fears	fear	fear
retribution	retribut	retribution
if	if	if
it	it	it
were	were	were
to	to	to
be	be	be
known	known	known
that	that	that
he	he	he

>	>	>
was	was	wa
the	the	the
one	one	one
who	who	who
told	told	told
the	the	the
public	public	public
how	how	how
to	to	to
do	do	do
so	so	so
.	.	.

typical	typic	typical
'	'	'
arromdian	arromdian	arromdian
'	'	'
of	of	of
the	the	the
asala	asala	asala
/	/	/
sdpa	sdpa	sdpa
