from	from	from
:	:	:
mlee@post.royalroads.ca	mlee@post.royalroads.ca	mlee@post.royalroads.ca
(	(	(
malcolm	malcolm	malcolm
lee	lee	lee
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
a	a	a
kind	kind	kind
and	and	and
loving	love	loving
god	god	god
!	!	!
!	!	!

organization	organ	organization
:	:	:
royal	royal	royal
roads	road	road
military	militari	military
college	colleg	college
,	,	,
victoria	victoria	victoria
,	,	,
b	b	b
.	.	.
c	c	c
.	.	.

lines	line	line
:	:	:
99	99	99

in	in	in
article	articl	article
<	<	<
1r1ma9innno7@owl.csrv.uidaho.edu	1r1ma9innno7@owl.csrv.uidaho.edu	1r1ma9innno7@owl.csrv.uidaho.edu
>	>	>
,	,	,
lanph872@crow.csrv.uidaho.edu	lanph872@crow.csrv.uidaho.edu	lanph872@crow.csrv.uidaho.edu
(	(	(
rob	rob	rob
lanphier	lanphier	lanphier
)	)	)
writes	write	writes
:	:	:

|	|	|
>	>	>
malcolm	malcolm	malcolm
lee	lee	lee
(	(	(
mlee@post.royalroads.ca	mlee@post.royalroads.ca	mlee@post.royalroads.ca
)	)	)
wrote	wrote	wrote
:	:	:

|	|	|
>	>	>

|	|	|
>	>	>
:	:	:
do	do	do
you	you	you
consider	consid	consider
neo	neo	neo
-	-	-
nazis	nazi	nazi
and	and	and
white	white	white
supremists	supremist	supremists
to	to	to
be	be	be
christian	christian	christian
?	?	?

i	i	i
'	'	'
d	d	d
hardly	hard	hardly

|	|	|
>	>	>
:	:	:
classify	classifi	classify
them	them	them
as	as	a
christian	christian	christian
.	.	.

do	do	do
they	they	they
follow	follow	follow
the	the	the
teachings	teach	teaching
of	of	of
christ	christ	christ
?	?	?

love	love	love

|	|	|
>	>	>
:	:	:
one	one	one
another	anoth	another
.	.	.

love	love	love
your	your	your
neighbour	neighbour	neighbour
as	as	a
yourself	yourself	yourself
.	.	.

love	love	love
your	your	your
enemies	enemi	enemy
.	.	.

is	is	is
jesus	jesus	jesus

|	|	|
>	>	>
:	:	:
christ	christ	christ
their	their	their
lord	lord	lord
and	and	and
saviour	saviour	saviour
?	?	?

by	by	by
the	the	the
persecution	persecut	persecution
of	of	of
jews	jew	jew
,	,	,
they	they	they
are	are	are
violating	violat	violating

|	|	|
>	>	>
:	:	:
all	all	all
the	the	the
precepts	precept	precept
of	of	of
what	what	what
christ	christ	christ
died	die	died
for	for	for
.	.	.

they	they	they
are	are	are
in	in	in
direct	direct	direct
violation	violat	violation
of	of	of

|	|	|
>	>	>
:	:	:
the	the	the
teachings	teach	teaching
of	of	of
christ	christ	christ
.	.	.

even	even	even
jesus	jesus	jesus
who	who	who
was	was	wa
crucified	crucifi	crucified
by	by	by
the	the	the
jewish	jewish	jewish
leaders	leader	leader

|	|	|
>	>	>
:	:	:
of	of	of
that	that	that
time	time	time
,	,	,
loved	love	loved
his	his	his
enemies	enemi	enemy
by	by	by
asking	ask	asking
the	the	the
father	father	father
for	for	for
forgiveness	forgiv	forgiveness
of	of	of
their	their	their

|	|	|
>	>	>
:	:	:
sins	sin	sin
.	.	.

i	i	i
am	am	am
a	a	a
christian	christian	christian
and	and	and
i	i	i
bear	bear	bear
no	no	no
animosity	animos	animosity
towards	toward	towards
jews	jew	jew
or	or	or
any	ani	any
one	one	one
else	els	else
.	.	.

|	|	|
>	>	>
:	:	:
the	the	the
enemy	enemi	enemy
is	is	is
satan	satan	satan
,	,	,
not	not	not
our	our	our
fellow	fellow	fellow
man	man	man
.	.	.

|	|	|
>	>	>

|	|	|
>	>	>
in	in	in
mark	mark	mark
16	16	16
:	:	:
16	16	16
,	,	,
jesus	jesus	jesus
is	is	is
quoted	quot	quoted
as	as	a
saying	say	saying
"	"	"
whoever	whoever	whoever
believes	believ	belief
and	and	and
is	is	is
baptized	baptiz	baptized

|	|	|
>	>	>
will	will	will
be	be	be
saved	save	saved
,	,	,
but	but	but
whoever	whoever	whoever
does	doe	doe
not	not	not
believe	believ	believe
will	will	will
be	be	be
condemned	condemn	condemned
.	.	.
"	"	"
i	i	i

|	|	|
>	>	>
consider	consid	consider
most	most	most
neo	neo	neo
-	-	-
nazis	nazi	nazi
and	and	and
white	white	white
supremisists	supremisist	supremisists
to	to	to
be	be	be
christians	christian	christian
because	becaus	because
:	:	:

|	|	|
>	>	>
a	a	a
)	)	)
they	they	they
say	say	say
they	they	they
are	are	are

|	|	|
>	>	>
b	b	b
)	)	)
they	they	they
feel	feel	feel
it	it	it
necessary	necessari	necessary
to	to	to
justify	justifi	justify
their	their	their
actions	action	action
with	with	with
the	the	the
bible	bibl	bible

|	|	|
>	>	>

where	where	where
does	doe	doe
it	it	it
say	say	say
in	in	in
the	the	the
bible	bibl	bible
that	that	that
christians	christian	christian
are	are	are
supposed	suppos	supposed
to	to	to
persecute	persecut	persecute
jews	jew	jew
?	?	?

isn	isn	isn
'	'	'
t	t	t
it	it	it
love	love	love
your	your	your
enemies	enemi	enemy
instead	instead	instead
?	?	?

they	they	they
may	may	may
say	say	say
they	they	they
are	are	are
"	"	"
christian	christian	christian
"	"	"
but	but	but
do	do	do
their	their	their
actions	action	action
speak	speak	speak
differently	differ	differently
?	?	?

do	do	do
you	you	you
believe	believ	believe
what	what	what
everyone	everyon	everyone
tells	tell	tell
you	you	you
?	?	?

i	i	i
don	don	don
'	'	'
t	t	t
.	.	.

i	i	i
came	came	came
to	to	to
believe	believ	believe
in	in	in
god	god	god
by	by	by
my	my	my
own	own	own
investigation	investig	investigation
and	and	and
conclusions	conclus	conclusion
.	.	.

and	and	and
ultimately	ultim	ultimately
by	by	by
my	my	my
own	own	own
choice	choic	choice
.	.	.

salvation	salvat	salvation
,	,	,
however	howev	however
,	,	,
was	was	wa
granted	grant	granted
only	onli	only
through	through	through
the	the	the
grace	grace	grace
of	of	of
god	god	god
.	.	.

|	|	|
>	>	>
the	the	the
bible	bibl	bible
provides	provid	provides
us	us	u
with	with	with
no	no	no
clear	clear	clear
definition	definit	definition
of	of	of
what	what	what
a	a	a
christian	christian	christian
is	is	is
.	.	.

it	it	it

|	|	|
>	>	>
tells	tell	tell
us	us	u
what	what	what
a	a	a
christian	christian	christian
*	*	*
should	should	should
*	*	*
do	do	do
,	,	,
but	but	but
then	then	then
it	it	it
goes	goe	go
on	on	on
to	to	to
say	say	say
that	that	that
as	as	a

|	|	|
>	>	>
long	long	long
as	as	a
you	you	you
believe	believ	believe
,	,	,
your	your	your
sins	sin	sin
will	will	will
be	be	be
forgiven	forgiven	forgiven
.	.	.

to	to	to
be	be	be
a	a	a
christian	christian	christian
is	is	is
to	to	to
model	model	model
oneself	oneself	oneself
after	after	after
jesus	jesus	jesus
christ	christ	christ
as	as	a
implied	impli	implied
by	by	by
the	the	the
very	veri	very
name	name	name
christian	christian	christian
.	.	.

if	if	if
you	you	you
say	say	say
you	you	you
believe	believ	believe
in	in	in
your	your	your
head	head	head
but	but	but
do	do	do
not	not	not
feel	feel	feel
in	in	in
your	your	your
heart	heart	heart
,	,	,
what	what	what
does	doe	doe
that	that	that
say	say	say
of	of	of
your	your	your
belief	belief	belief
?	?	?

|	|	|
>	>	>
white	white	white
supremisists	supremisist	supremisists
and	and	and

|	|	|
>	>	>
neo	neo	neo
-	-	-
nazis	nazi	nazi
may	may	may
not	not	not
be	be	be
your	your	your
brand	brand	brand
of	of	of
christian	christian	christian
,	,	,
but	but	but
by	by	by
believing	believ	believing
in	in	in
christ	christ	christ
,	,	,
|	|	|
>	>	>
they	they	they
are	are	are
christian	christian	christian
.	.	.

|	|	|
>	>	>

white	white	white
supremists	supremist	supremists
and	and	and
neo	neo	neo
-	-	-
nazis	nazi	nazi
are	are	are
not	not	not
any	ani	any
brand	brand	brand
of	of	of
christian	christian	christian
.	.	.

"	"	"
if	if	if
you	you	you
hate	hate	hate
your	your	your
whom	whom	whom
you	you	you
can	can	can
see	see	see
then	then	then
how	how	how
can	can	can
you	you	you
love	love	love
god	god	god
whom	whom	whom
you	you	you
cannot	cannot	cannot

see	see	see
?	?	?
"	"	"

what	what	what
does	doe	doe
this	this	this
belief	belief	belief
entail	entail	entail
?	?	?

believing	believ	believing
in	in	in
christ	christ	christ
and	and	and
having	have	having
your	your	your
sins	sin	sin
forgiven	forgiven	forgiven
in	in	in
his	his	his
name	name	name
does	doe	doe
not	not	not
give	give	give
a	a	a
christian	christian	christian
a	a	a
free	free	free
licence	licenc	licence
to	to	to
sin	sin	sin
.	.	.

to	to	to
repent	repent	repent
of	of	of
a	a	a
sin	sin	sin
is	is	is
to	to	to
ask	ask	ask
forgiveness	forgiv	forgiveness
of	of	of
that	that	that
sin	sin	sin
and	and	and
try	tri	try
not	not	not
to	to	to
do	do	do
it	it	it
again	again	again
.	.	.

i	i	i
am	am	am
a	a	a
christian	christian	christian
,	,	,
but	but	but
if	if	if
you	you	you
lump	lump	lump
me	me	me
in	in	in
with	with	with
racists	racist	racist
and	and	and
accuse	accus	accuse
me	me	me
of	of	of
being	be	being
such	such	such
,	,	,
then	then	then
are	are	are
you	you	you
not	not	not
pre	pre	pre
-	-	-
judging	judg	judging
me	me	me
?	?	?

btw	btw	btw
,	,	,
i	i	i
am	am	am
of	of	of
chinese	chines	chinese
racial	racial	racial
background	background	background
and	and	and
i	i	i
know	know	know
what	what	what
it	it	it
is	is	is
to	to	to
be	be	be
part	part	part
of	of	of
a	a	a
visible	visibl	visible
minority	minor	minority
in	in	in
this	this	this
country	countri	country
.	.	.

i	i	i
don	don	don
'	'	'
t	t	t
think	think	think
that	that	that
i	i	i
would	would	would
be	be	be
favourably	favour	favourably
looked	look	looked
upon	upon	upon
by	by	by
these	these	these
white	white	white
supremist	supremist	supremist
"	"	"
christians	christian	christian
"	"	"
as	as	a
you	you	you
call	call	call
them	them	them
.	.	.

anyone	anyon	anyone
can	can	can
say	say	say
what	what	what
they	they	they
believe	believ	believe
,	,	,
but	but	but
if	if	if
they	they	they
don	don	don
'	'	'
t	t	t
practice	practic	practice
what	what	what
they	they	they
preach	preach	preach
,	,	,
then	then	then
their	their	their
belief	belief	belief
is	is	is
false	fals	false
.	.	.

do	do	do
you	you	you
concur	concur	concur
?	?	?

|	|	|
>	>	>
now	now	now
,	,	,
for	for	for
your	your	your
original	origin	original
statement	statement	statement
:	:	:

|	|	|
>	>	>
:	:	:
|	|	|
>	>	>
:	:	:
what	what	what
bothers	bother	bother
me	me	me
most	most	most
is	is	is
why	whi	why
people	peopl	people
who	who	who
have	have	have
no	no	no
religious	religi	religious
affiliation	affili	affiliation

|	|	|
>	>	>
:	:	:
|	|	|
>	>	>
:	:	:
continue	continu	continue
to	to	to
persecute	persecut	persecute
jews	jew	jew
?	?	?

why	whi	why
this	this	this
hatred	hatr	hatred
of	of	of
jews	jew	jew
?	?	?

the	the	the
majority	major	majority
of	of	of

|	|	|
>	>	>
:	:	:
|	|	|
>	>	>
:	:	:
people	peopl	people
who	who	who
persecute	persecut	persecute
jews	jew	jew
are	are	are
not	not	not
christians	christian	christian
(	(	(
i	i	i
can	can	can
'	'	'
t	t	t
speak	speak	speak
for	for	for
all	all	all

|	|	|
>	>	>
:	:	:
|	|	|
>	>	>
:	:	:
christians	christian	christian
and	and	and
there	there	there
are	are	are
bound	bound	bound
to	to	to
be	be	be
a	a	a
few	few	few
who	who	who
are	are	are
on	on	on
the	the	the
anti	anti	anti
-	-	-
semitism	semit	semitism

|	|	|
>	>	>
:	:	:
|	|	|
>	>	>
:	:	:
bandwagon	bandwagon	bandwagon
.	.	.
)	)	)

|	|	|
>	>	>

|	|	|
>	>	>
you	you	you
imply	impli	imply
here	here	here
that	that	that
it	it	it
is	is	is
predominately	predomin	predominately
atheists	atheist	atheist
and	and	and
agnostics	agnost	agnostic
who	who	who

|	|	|
>	>	>
persecute	persecut	persecute
jews	jew	jew
.	.	.

i	i	i
am	am	am
hard	hard	hard
pressed	press	pressed
to	to	to
think	think	think
of	of	of
even	even	even
an	an	an
example	exampl	example
of	of	of
jewish	jewish	jewish

|	|	|
>	>	>
persecution	persecut	persecution
in	in	in
the	the	the
hands	hand	hand
of	of	of
atheists	atheist	atheist
/	/	/
agnostics	agnost	agnostic
.	.	.

nazis	nazi	nazi
and	and	and
racists	racist	racist
in	in	in
general	general	general
are	are	are
the	the	the
ones	one	one
that	that	that
come	come	come
to	to	to
my	my	my
immediate	immedi	immediate
attention	attent	attention
.	.	.

what	what	what
i	i	i
believe	believ	believe
is	is	is
that	that	that
such	such	such
people	peopl	people
may	may	may
be	be	be
using	use	using
the	the	the
bible	bibl	bible
to	to	to
mask	mask	mask
their	their	their
racial	racial	racial
intolerance	intoler	intolerance
and	and	and
bigotry	bigotri	bigotry
.	.	.

they	they	they
can	can	can
do	do	do
as	as	a
they	they	they
do	do	do
and	and	and
hide	hide	hide
behind	behind	behind
christianity	christian	christianity
but	but	but
i	i	i
tell	tell	tell
you	you	you
that	that	that
jesus	jesus	jesus
would	would	would
have	have	have
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
them	them	them
.	.	.

|	|	|
>	>	>
about	about	about
the	the	the
only	onli	only
one	one	one
that	that	that

|	|	|
>	>	>
comes	come	come
to	to	to
mind	mind	mind
would	would	would
be	be	be
in	in	in
the	the	the
former	former	former
soviet	soviet	soviet
union	union	union
,	,	,
where	where	where
many	mani	many
religious	religi	religious

|	|	|
>	>	>
people	peopl	people
suffered	suffer	suffered
some	some	some
sort	sort	sort
of	of	of
persecution	persecut	persecution
(	(	(
not	not	not
to	to	to
mention	mention	mention
many	mani	many

|	|	|
>	>	>
atheist	atheist	atheist
/	/	/
agnostics	agnost	agnostic
who	who	who
suffered	suffer	suffered
persecution	persecut	persecution
for	for	for
believing	believ	believing
the	the	the
government	govern	government

|	|	|
>	>	>
sucked	suck	sucked
)	)	)
.	.	.

|	|	|
>	>	>

no	no	no
arguement	arguement	arguement
there	there	there
.	.	.

|	|	|
>	>	>

|	|	|
>	>	>
rob	rob	rob
lanphier	lanphier	lanphier

|	|	|
>	>	>
lanph872@uidaho.edu	lanph872@uidaho.edu	lanph872@uidaho.edu

|	|	|
>	>	>

the	the	the
only	onli	only
point	point	point
i	i	i
'	'	'
m	m	m
trying	tri	trying
to	to	to
make	make	make
is	is	is
that	that	that
those	those	those
who	who	who
call	call	call
themselves	themselv	themselves
christian	christian	christian
may	may	may
not	not	not
be	be	be
christian	christian	christian
.	.	.

i	i	i
ask	ask	ask
that	that	that
you	you	you
draw	draw	draw
your	your	your
own	own	own
conclusions	conclus	conclusion
by	by	by
what	what	what
they	they	they
do	do	do
and	and	and
what	what	what
they	they	they
say	say	say
.	.	.

if	if	if
they	they	they
are	are	are
not	not	not
modelled	model	modelled
after	after	after
the	the	the
example	exampl	example
of	of	of
jesus	jesus	jesus
christ	christ	christ
then	then	then
they	they	they
are	are	are
not	not	not
christian	christian	christian
.	.	.

if	if	if
they	they	they
have	have	have
not	not	not
repented	repent	repented
of	of	of
their	their	their
sins	sin	sin
and	and	and
accepted	accept	accepted
jesus	jesus	jesus
christ	christ	christ
as	as	a
their	their	their
personal	person	personal
lord	lord	lord
and	and	and
saviour	saviour	saviour
then	then	then
they	they	they
are	are	are
not	not	not
christian	christian	christian
.	.	.

these	these	these
are	are	are
the	the	the
only	onli	only
criteria	criteria	criterion
to	to	to
being	be	being
a	a	a
christian	christian	christian
.	.	.

may	may	may
god	god	god
be	be	be
with	with	with
you	you	you
,	,	,
malcolm	malcolm	malcolm
lee	lee	lee
:	:	:
)	)	)
